#,都道府県ID,都道府県,所在地,マンション名,管理組合名,管理組合設立予定年月,組合ホームページ,敷地面積,敷地権利形態,建築面積 ／ 延べ面積,専有部分の構成,専有部分の合計床面積,建物構造／階数,新築年月日,集会室,管理事務室,昇降機,敷地内駐車場,自転車／バイク置場等,ブロードバンド対応,TV共同視聴設備,防犯カメラ,オートロック,宅配ロッカー,地震対策,断熱対策,バリアフリー,住宅性能評価書（設計時）,住宅性能評価書（建設時）,既存住宅性能評価書,売主,設計者,工事管理者,施工業者
323,14,神奈川県,神奈川県横浜市戸塚区川上町415-2,東戸塚光の街,東戸塚光の街管理組合 －,－,－,14865.85 ㎡,所有権,5089.55 ㎡ ／ 26816.32 ㎡,住宅：２７９ 戸 ／ 非住宅：１ 区画,住宅： 20773.71 ㎡ ／ 非住宅： 1541.12 ㎡ （壁芯面積）,鉄筋コンクリート／ 地上７階,1984年11月29日,あり,あり,３基,平置式：９４台,自転車：２７９台／バイク：５０台,－,－,－,－,－,－,－,－,－,－,－,株式会社熊谷組、環境開発株式会社,株式会社熊谷組,株式会社熊谷組,株式会社熊谷組
324,14,神奈川県,神奈川県伊勢原市高森5-23-1,東高森住宅,東高森住宅管理組合 ひがしたかもりじゅうたくかんりくみあい,管理組合の自己紹介を見る,－,45901.24 ㎡,所有権,7186.93 ㎡ ／ 35934.66 ㎡,２２棟 住宅：６００ 戸 ／ 非住宅：０ 区画,,,,あり,あり,,平置式：１３１台,－,VDSL方式,地上波デジタル,－,－,なし,－,開口部（複層ガラス）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： －,－,－,－,棟別建築概要を見る,,,
325,14,神奈川県,神奈川県横浜市青葉区松風台33-2,藤和シティホームズ青葉松風台,藤和シティホームズ青葉松風台管理組合 とうわしてぃほーむずあおばまつかぜだいかんりくみあい,－,－,6260.79 ㎡,所有権,2670.65 ㎡ ／ 8438.72 ㎡,２棟 住宅：８３ 戸 ／ 非住宅：０ 区画,,,,なし,あり,,平置式：９台、機械式：７５台,自転車：１２６台／バイク：１０台,構内LAN方式,CATV、CS、BS、地上波デジタル,あり,あり,あり,－,－,－,－,－,－,棟別建築概要を見る,,,
326,14,神奈川県,神奈川県川崎市高津区坂戸3-3-1,日商岩井溝の口マンション,日商岩井溝の口マンション管理組合 にっしょういわいみぞのくちまんしょんかんりくみあい,管理組合の自己紹介を見る,－,17286.97 ㎡,所有権,4007.91 ㎡ ／ 29889.23 ㎡,２棟 住宅：３４１ 戸 ／ 非住宅：０ 区画,,,,あり,あり,,平置式：１３２台,自転車：５８７台／バイク：５０台,VDSL方式,CATV、BS、地上波デジタル,あり,なし,なし,－,－,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： あり,－,－,－,棟別建築概要を見る,,,
327,14,神奈川県,神奈川県厚木市栄町1-10-7,日神パレステージ本厚木グランビュー,日神パレステージ本厚木グランビュー管理組合 にっしんぱれすてーじほんあつぎぐらんびゅーかんりくみあい,－,－,2478.48 ㎡,所有権,889.99 ㎡ ／ 9554.36 ㎡,住宅：７５ 戸 ／ 非住宅：２ 区画,住宅： 7669.91 ㎡ ／ 非住宅：－ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１４階 、地下１階,2002年8月30日,あり,あり,３基,平置式：１３台、機械式：６３台,自転車：１５０台／バイク：２５台,VDSL方式,CATV、BS,あり,あり,あり,－,－,－,－,－,－,日神不動産株式会社,株式会社アーバネット設計連合,株式会社アーバネット設計連合,りんかい建設株式会社
328,14,神奈川県,神奈川県平塚市高村26番地,平塚高村団地,平塚高村住宅管理組合 ひらつかたかむらじゅうたくかんりくみあい,－,－,－,所有権,－ ／ －,３２棟 － ／ 非住宅：－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,棟別建築概要を見る,,,,,,,
329,15,新潟県,新潟県新潟市中央区和合町1-10-32,スイートメント和合町,管理組合法人スイートメント和合町 かんりくみあいほうじんすいーとめんとわごうちょう,管理組合の自己紹介を見る,－,1319.83 ㎡,所有権,727.79 ㎡ ／ 2635.94 ㎡,住宅：３１ 戸 ／ 非住宅：２ 区画,住宅： 2202.48 ㎡ ／ 非住宅： 189.9 ㎡ （壁芯面積）,鉄筋コンクリート／ 地上５階,1987年2月28日,あり,あり,１基,なし,自転車：３０台,VDSL方式,地上波デジタル,－,－,なし,－,－,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,－,－,－,日本共同信販株式会社,有限会社アズマ建築設計事務所,有限会社アズマ建築設計事務所,共立建設株式会社
330,15,新潟県,新潟県新潟市西区青山2-3-32,プレステージ青山,プレステージ青山管理組合 ぷれすてーじあおやまかんりくみあい,－,－,11978.55 ㎡,所有権,3030.35 ㎡ ／ 24125.6 ㎡,住宅：２９９ 戸 ／ 非住宅：－,住宅： 22142.3 ㎡ ／ 非住宅：－ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１４階,1993年5月11日,あり,あり,４基,平置式：１６６台,自転車：２７２台／バイク：１２台,VDSL方式,BS、地上波デジタル,あり,あり,あり,－,－,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,－,－,－,日東土地株式会社、日南開発株式会社、富士興産株式会社,株式会社クリエート設計事務所 代表取締役 石黒直,株式会社クリエート設計事務所 代表取締役 石黒直,大成建設株式会社 北信越支店
331,15,新潟県,新潟県新潟市西区青山1-7-1,マンション青山カメリア,マンション青山カメリア管理組合 まんしょんあおやまかめりあかんりくみあい,－,－,9436 ㎡,所有権,2278.42 ㎡ ／ 19003.55 ㎡,住宅：２３１ 戸 ／ 非住宅：４ 区画,住宅： 14726.63 ㎡ ／ 非住宅： 251.9 ㎡ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１０階,1976年8月6日,あり,あり,３基,平置式：１３０台,自転車：１００台／バイク：１０台,VDSL方式,BS、地上波デジタル,あり,なし,あり,－,開口部（複層ガラス）,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： あり,－,－,－,株式会社トーメン,株式会社クリエート建築設計事務所,株式会社クリエート建築設計事務所,株式会社福田組
332,16,富山県,富山県富山市東田地方町一丁目,プレミスト桜橋EAST,,2009年12月,http://www.daiwahouse.co.jp/mansion/,1905.2 ㎡,所有権,905.32 ㎡ ／ 8930.86 ㎡,住宅：８２ 戸 ／ 非住宅：－,住宅： 6366.42 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上１４階,2009年11月2日,なし,あり,２基,平置式：1台、機械式：84台,自転車：８２台／バイク：３台,構内LAN方式,CATV、CS、BS、地上波デジタル,あり,あり,あり,－,開口部（複層ガラス）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり 、その他：あり,あり,あり,大和ハウス工業株式会社,(株)アール・アイ・エー,(株)アール・アイ・エー,佐藤工業(株),
