#,都道府県ID,都道府県,所在地,マンション名,管理組合名,管理組合設立予定年月,組合ホームページ,敷地面積,敷地権利形態,建築面積 ／ 延べ面積,専有部分の構成,専有部分の合計床面積,建物構造／階数,新築年月日,集会室,管理事務室,昇降機,敷地内駐車場,自転車／バイク置場等,ブロードバンド対応,TV共同視聴設備,防犯カメラ,オートロック,宅配ロッカー,地震対策,断熱対策,バリアフリー,住宅性能評価書（設計時）,住宅性能評価書（建設時）,既存住宅性能評価書,売主,設計者,工事管理者,施工業者
1,1,北海道,北海道札幌市中央区南26条西13丁目1番39号,D’レスティア山鼻南,,2008年4月,http://www.daiwahouse.co.jp/mansion/,1765.6 ㎡,所有権,782.3 ㎡ ／ －,住宅：３４ 戸 ／ 非住宅：－,住宅： 3069.03 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上７階,2008年1月31日,なし,あり,３基,平置式：16台、機械式：18台,自転車：５４台／バイク：２台,構内LAN方式,CATV、CS、BS、地上波デジタル,あり,あり,あり,－,開口部（断熱サッシ）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,大和ハウス工業株式会社,株式会社建築工房,株式会社建築工房,青木あすなろ建設株式会社 北海道支店,
2,1,北海道,北海道函館市青柳町8-8,アートビュー元町,アートビュー元町住宅管理組合 あーとびゅーもとまちじゅうたくかんりくみあい,管理組合の自己紹介を見る,－,1059.28 ㎡,所有権、貸借権,183.51 ㎡ ／ 1817.84 ㎡,住宅：１８ 戸 ／ 非住宅：－,住宅： 1624.17 ㎡ ／ 非住宅：－ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１０階,1988年3月28日,なし,なし,１基,平置式：１７台,自転車：４台,なし,BS,あり,あり,なし,－,－,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： －,－,－,－,株式会社緑地,株式会社長尾建築設計,株式会社長尾建築設計,田畑建設株式会社
3,1,北海道,北海道札幌市中央区宮の森1条15丁目4番33,アームズ宮の森,アームズ宮の森管理組合 あーむずみやのもりかんりくみあい,－,－,2118.15 ㎡,所有権,845.37 ㎡ ／ 4283.98 ㎡,住宅：２９ 戸 ／ 非住宅：－,住宅： 2958.16 ㎡ ／ 非住宅：－ （登記簿面積）,鉄筋コンクリート／ 地上６階,1997年5月10日,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
4,1,北海道,北海道札幌市中央区南七条西14丁目2-15,アルファコート・南７条,アルファコート・南７条管理組合 あるふぁこーと・みなみ７じょうかんりくみあい,管理組合の自己紹介を見る,－,1007.02 ㎡,所有権,697.57 ㎡ ／ 3551.02 ㎡,住宅：３６ 戸 ／ 非住宅：－,住宅： 2376.7 ㎡ ／ 非住宅： 1174.32 ㎡ （登記簿面積）,鉄骨鉄筋コンクリート／ 地上１４階 、地下１階,1991年3月25日,なし,あり,１基,平置式：２１台,自転車：４０台,VDSL方式、CATV方式,CATV、BS、地上波デジタル,あり,あり,なし,－,開口部（二重サッシ）,－,－,－,－,株式会社アルファ・ホーム,横河建築設計事務所・安川建築設計事務所,横河建築設計事務所・安川建築設計事務所,大成建設株式会社
5,1,北海道,北海道札幌市北区北三十五条西六丁目1-1,インペリアル札幌,インペリアル札幌管理組合 いんぺりあるさっぽろかんりくみあい,－,－,3167 ㎡,所有権,904 ㎡ ／ 6334 ㎡,住宅：９３ 戸 ／ 非住宅：－,住宅： 5156 ㎡ ／ 非住宅：－ （登記簿面積）,鉄骨鉄筋コンクリート／ 地上８階,1975年1月21日,あり,あり,１基,平置式：６１台,自転車：４０台,FTTH方式,CS、BS、地上波デジタル,あり,あり,なし,－,開口部（断熱サッシ）,階段の手摺： － 、廊下の手摺： あり 、車イス用スロープ： あり,－,－,－,－,－,－,－
6,1,北海道,北海道札幌市西区二十四軒4条3丁目4番35号,カルチェド札幌,カルチェド札幌管理組合法人 かるちぇどさっぽろかんりくみあいほうじん,管理組合の自己紹介を見る,－,3382.21 ㎡,所有権,1782.52 ㎡ ／ 11435.98 ㎡,住宅：１１７ 戸 ／ 非住宅：６ 区画,住宅： 7287.56 ㎡ ／ 非住宅： 427.8 ㎡ （登記簿面積）,鉄筋コンクリート／ 地上７階,1974年5月10日,あり,あり,１基,平置式：９０台,自転車：７６台／バイク：５台,FTTH方式,CATV,あり,なし,なし,－,開口部（複層ガラス）,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： － 、その他：あり,－,－,－,東洋観光開発株式会社,㈱岡田設計事務所,㈱岡田設計事務所,㈱熊谷組札幌支店
7,1,北海道,北海道札幌市豊平区豊平3条1丁目5番地,コスモビュー豊平橋,コスモビュー豊平橋管理組合法人 こすもびゅーとよひらばしかんりくみあいほうじん,管理組合の自己紹介を見る,－,4196.04 ㎡,所有権,1468.26 ㎡ ／ 17062.75 ㎡,住宅：１６７ 戸 ／ 非住宅：１ 区画,住宅： 13050.7 ㎡ ／ 非住宅： 335.47 ㎡ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１４階,1987年6月30日,あり,あり,２基,平置式：１０２台,自転車：１００台／バイク：３台,FTTH方式、VDSL方式,CS、BS、地上波デジタル,あり,あり,あり,－,開口部（複層ガラス）,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： あり 、その他：あり,－,－,－,日本勤労者住宅協会,小野寺 毅,株式会社創建,株式会社淺沼組 札幌支店
8,1,北海道,北海道札幌市豊平区豊平四条3-1-1,シャルム豊平,シャルム豊平管理組合法人 しゃるむとよひらかんりくみあいほうじん,管理組合の自己紹介を見る,－,6710.49 ㎡,所有権,2073.62 ㎡ ／ 20816.04 ㎡,住宅：２１８ 戸 ／ 非住宅：１５ 区画,住宅： 15614.6 ㎡ ／ 非住宅： 883.37 ㎡ （登記簿面積）,鉄骨鉄筋コンクリート／ 地上１４階 、地下１階,1983年4月26日,あり,あり,２基,平置式：４０台、立体自走式：８２台,自転車：１３３台／バイク：７台,VDSL方式,BS、地上波デジタル,あり,あり,なし,－,開口部（二重サッシ）,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： －,－,－,－,日本勤労者住宅協会,株式会社環境開発研究所,株式会社環境開発研究所,（共同企業体） 鹿島建設株式会社 株式会社竹中工務店 戸田建設株式会社 株式会社青木建設
9,1,北海道,北海道旭川市曙1条4丁目1-11,チュリス曙,チュリス曙管理組合 ちゅりすあけぼのかんりくみあい,管理組合の自己紹介を見る,－,4925.6 ㎡,所有権,2546.6 ㎡ ／ 10973.91 ㎡,住宅：１０６ 戸 ／ 非住宅：２ 区画,住宅： 8261.64 ㎡ ／ 非住宅： 155.88 ㎡ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１０階,1992年5月31日,あり,あり,６基,平置式：８２台、立体自走式：３６台,自転車：１２０台／バイク：４台,FTTH方式,CATV、CS、BS、地上波デジタル,あり,あり,あり,－,開口部（複層ガラス）,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： あり 、その他：あり,－,－,－,住建総合建物サービス株式会社,飯田建設設計事務所(大分市),飯田建設設計事務所(大分市),住友建設株式会社
10,1,北海道,北海道札幌市中央区宮の森二条12丁目3番10,ディーグランセ宮の森フォリアハウス,,2008年6月,http://www.daiwahouse.co.jp/mansion/,3599.21 ㎡,所有権,1411.31 ㎡ ／ 2726.15 ㎡,住宅：１６ 戸 ／ 非住宅：－,住宅： 1973.82 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上３階 、地下１階,2008年5月25日,なし,あり,３基,平置式：17台,自転車：１６台,VDSL方式、構内LAN方式,CATV、CS、BS、地上波デジタル,あり,あり,あり,－,開口部（断熱サッシ）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,大和ハウス工業株式会社,（有）谷内建築研究所 （株）札幌構造設計事務所,（有）谷内建築研究所,青木あすなろ建設（株）,
11,1,北海道,北海道小樽市稲穂3丁目,プレミスト小樽ステーションタワー,,2009年6月,http://www.daiwahouse.co.jp/mansion/,3560.32 ㎡,所有権,2774.74 ㎡ ／ 26653.65 ㎡,住宅：１１７ 戸 ／ 非住宅：１３ 区画,住宅： 10213.51 ㎡ ／ 非住宅： 11549.3 ㎡ （壁芯面積）,鉄筋コンクリート／ 地上１７階 、地下１階,2009年5月28日,あり,あり,２基,平置式：１台、機械式：８４台,自転車：６０台／バイク：７台,VDSL方式,CS、BS、地上波デジタル,あり,あり,あり,－,開口部（断熱サッシ）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり 、その他：あり,あり,あり,大和ハウス工業株式会社,大成建設（株）一級建築士事務所,大成建設（株）一級建築士事務所,大成建設（株）,
12,1,北海道,北海道札幌市厚別区厚別中央三条三丁目1番36号,プレミスト新札幌西,プレミスト新札幌西団地管理組合 ぷれみすとしんさっぽろにしだんちかんりくみあい,11月,－,4060.24 ㎡,所有権,986.84 ㎡ ／ 12171.22 ㎡,２棟 住宅：１１６ 戸 ／ 非住宅：０ 区画,,,2008年11月20日,あり,あり,あり,平置式：１８台、機械式：１１７台,自転車：１２１台／バイク：５台,VDSL方式、構内LAN方式,CS、BS、地上波デジタル,あり,あり,あり,－,開口部（断熱サッシ）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,,,,,
13,1,北海道,北海道札幌市中央区南24条西14丁目1番38号,ライオンズマンション教育大学前,ライオンズマンション教育大学前管理組合 らいおんずまんしょんきょういくだいがくまえかんりくみあい,管理組合の自己紹介を見る,－,1643.26 ㎡,所有権,725.96 ㎡ ／ 3280.11 ㎡,住宅：３６ 戸 ／ 非住宅：－,住宅： 2767.86 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上６階 、地下１階,1986年6月30日,なし,あり,１基,平置式：１２台,自転車：４０台／バイク：５台,CATV方式,CATV、CS、BS、地上波デジタル,あり,あり,あり,－,開口部（二重サッシ）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： －,－,－,－,大京観光株式会社,㈱久米建築事務所 札幌事務所,㈱久米建築事務所 札幌事務所,戸田建設㈱ 札幌支店
14,1,北海道,北海道札幌市中央区南14条西19丁目1番-53,ライオンズマンション啓明第２,ライオンズマンション啓明第２管理組合 らいおんずまんしょんけいめいだいにかんりくみあい,－,－,728.54 ㎡,所有権,285.22 ㎡ ／ 1439.77 ㎡,住宅：１９ 戸 ／ 非住宅：０ 区画,住宅： 1209.09 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上７階 、地下１階,1984年12月11日,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
15,1,北海道,北海道札幌市厚別区厚別中央2条4丁目15-1・2,ラポールひばりが丘,団地管理組合法人 ラポールひばりが丘 だんちかんりくみあいほうじんらぽーるひばりがおか,管理組合の自己紹介を見る,－,9961.51 ㎡,所有権,2044.51 ㎡ ／ 20885.58 ㎡,２棟 住宅：１９０ 戸 ／ 非住宅：０ 区画,あり,あり,,,,,平置式：１６６台,自転車：２００台／バイク：８台,VDSL方式,CATV、CS、BS、地上波デジタル,あり,あり,なし,免震構造,開口部（二重サッシ）,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： あり,－,－,－,,,,
16,1,北海道,北海道札幌市中央区南二十七条西12-1-1,ラポール南山鼻住宅,ラポール南山鼻住宅管理組合 らぽーるみなみやまはなじゅうたくかんりくみあい,管理組合の自己紹介を見る,－,8631.56 ㎡,所有権,1821.11 ㎡ ／ 12180.28 ㎡,住宅：１１０ 戸 ／ 非住宅：－,住宅： 9666.84 ㎡ ／ 非住宅：－ （登記簿面積）,鉄筋コンクリート／ 地上９階 、地下１階,1989年6月15日,あり,あり,７基,平置式：１１９台,自転車：１１０台／バイク：８台,VDSL方式、CATV方式,CATV、BS、地上波デジタル,あり,あり,あり,－,開口部（複層ガラス）,階段の手摺： － 、廊下の手摺： － 、車イス用スロープ： あり,－,－,－,北海道住宅供給公社,株式会社鴻池組,小林誠夫,株式会社鴻池組
17,1,北海道,北海道札幌市東区北39条東1丁目803番地9,ロイヤルシャトー東麻生,ロイヤルシャトー東麻生管理組合 ろいやるしゃとーひがしあざぶかんりくみあい,管理組合の自己紹介を見る,－,2208.04 ㎡,所有権,1020.18 ㎡ ／ 4853.58 ㎡,住宅：５３ 戸 ／ 非住宅：－,住宅： 3841.92 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上５階,1986年4月30日,あり,あり,６基,平置式：３６台,自転車：５４台,VDSL方式,BS,なし,なし,なし,－,開口部（二重サッシ）,－,－,－,－,株式会社しんたくダイワハウス,株式会社HAU計画設計,株式会社HAU計画設計,東急建設株式会社・青木建設株式会社 企業共同体
18,1,北海道,北海道札幌市南区石山1条5丁目2番1号,ロピア石山通,ロピア石山通管理組合 ろぴあいしやまとおりかんりくみあい,管理組合の自己紹介を見る,－,4921.4 ㎡,所有権,1706.66 ㎡ ／ 7382.42 ㎡,住宅：７５ 戸 ／ 非住宅：０ 区画,住宅： 6284.18 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上５階 、地下１階,1990年11月15日,あり,あり,８基,平置式：５６台,自転車：１５０台,VDSL方式,BS,なし,なし,なし,－,－,－,－,－,－,株式会社タカノ,㈱北逓建築監理事務所,－,坂本建設㈱
19,1,北海道,北海道札幌市中央区伏見1-1,伏見タウンハウス,伏見タウンハウス団地管理組合法人 ふしみたうんはうすだんちかんりくみあいほうじん,管理組合の自己紹介を見る,－,7845.77 ㎡,所有権,2081.99 ㎡ ／ 4691.92 ㎡,６棟 住宅：４７ 戸 ／ 非住宅：０ 区画,あり,あり,,,,,平置式：４７台,自転車：４９台／バイク：３台,VDSL方式,CATV、CS、BS、地上波デジタル,－,－,なし,－,－,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： －,－,－,－,棟別建築概要を見る,,,
20,1,北海道,北海道札幌市北区北31条西12丁目2-1,北31条パーク・マンション,北31条パーク・マンション管理組合 きたさんじゅういちじょうぱーく・まんしょんかんりくみあい,－,－,4885.52 ㎡,所有権,1796.91 ㎡ ／ 9723.91 ㎡,住宅：１１４ 戸 ／ 非住宅：０ 区画,住宅： 8169.43 ㎡ ／ 非住宅： 0 ㎡ （壁芯面積）,鉄筋コンクリート／ 地上８階 、地下１階,1983年8月3日,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
21,1,北海道,北海道札幌市北区北七条西六丁目1番地,北苑マンション,北苑マンション管理組合 ほくえんまんしょんかんりくみあい,管理組合の自己紹介を見る,－,1322.3 ㎡,所有権,1050.04 ㎡ ／ 8588.05 ㎡,住宅：５０ 戸 ／ 非住宅：８ 区画,住宅： 3881.62 ㎡ ／ 非住宅： 2611.62 ㎡ （登記簿面積）,鉄骨鉄筋コンクリート／ 地上１３階 、地下１階,1981年10月27日,あり,あり,２基,平置式：６台,－,VDSL方式,CS、BS、地上波デジタル,あり,あり,なし,－,－,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： あり,－,－,－,北海道農林工業株式会社,株式会社東建築設計事務所,北海道建築設計監理株式会社,株式会社地崎工業北海道支社
22,2,青森県,青森県弘前市南横町45番地2,サンデュエル弘前,サンデュエル弘前管理組合 さんでゅえるひろさきかんりくみあい,管理組合の自己紹介を見る,－,1678.73 ㎡,所有権,409.4 ㎡ ／ 4061.54 ㎡,住宅：４４ 戸 ／ 非住宅：－,住宅： 3206.61 ㎡ ／ 非住宅：－ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１２階,2003年11月19日,あり,あり,２基,平置式：４４台,自転車：４４台／バイク：９台,VDSL方式,CS、BS、地上波デジタル,あり,あり,あり,制震構造,開口部（複層ガラス）,階段の手摺： － 、廊下の手摺： － 、車イス用スロープ： あり,－,－,－,株式会社サンシティ,株式会社現代建築工房一級建築士事務所,株式会社現代建築工房一級建築士事務所,松井建設株式会社 東北支店
23,3,岩手県,岩手県盛岡市新田町5番35号,パレ・ロワイヤル盛岡,パレ・ロワイヤル盛岡管理組合 ぱれ・ろわいやるもりおかかんりくみあい,－,－,6702.42 ㎡,所有権,2868.91 ㎡ ／ 14825.93 ㎡,住宅：１７０ 戸 ／ 非住宅：０ 区画,住宅： 11952.61 ㎡ ／ 非住宅： 0 ㎡ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１４階 、地下１階,1985年3月18日,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
24,3,岩手県,岩手県盛岡市本宮一丁目6-20,プレミスト盛南エクセルステージ,プレミスト盛南エクセルステージ管理組合 ぷれみすとせいなんえくせるすてーじかんりくみあい,－,－,6403.74 ㎡,所有権,2089.68 ㎡ ／ 12950.16 ㎡,住宅：１４０ 戸 ／ 非住宅：－,住宅： 10812.24 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上１４階,2008年9月30日,あり,あり,３基,平置式：７１台、機械式：１４１台,自転車：２８０台／バイク：９台,構内LAN方式,CS、BS、地上波デジタル,あり,あり,あり,－,開口部（二重サッシ）,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： あり,あり,あり,－,大和ハウス工業株式会社,意匠：株式会社創建設計、構造：株式会社塩見,株式会社創建設計,株式会社銭高組
25,3,岩手県,岩手県盛岡市天神町11番15号,プレミスト天神町,プレミスト天神町管理組合 ぷれみすとてんじんちょうかんりくみあい,－,－,1305.32 ㎡,所有権,322.59 ㎡ ／ 2929.61 ㎡,住宅：３０ 戸 ／ 非住宅：－,住宅： 2334.7 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上１１階 、地下１階,2008年1月31日,なし,あり,１基,平置式：３０台、機械式：３０台,自転車：４０台／バイク：３台,構内LAN方式,CS、BS、地上波デジタル,あり,あり,あり,－,開口部（断熱サッシ）,－,あり,あり,－,大和ハウス工業株式会社,株式会社久慈設計,株式会社久慈設計,西松建設株式会社
26,4,宮城県,宮城県仙台市青葉区一番町1丁目5番20号,グローリオ一番町,グローリオ一番町管理組合 ぐろーりおいちばんちょうかんりくみあい,－,－,869.06 ㎡,所有権,234.28 ㎡ ／ －,住宅：３５ 戸 ／ 非住宅：０ 区画,住宅： 3012.66 ㎡ ／ 非住宅： 0 ㎡ （登記簿面積）,鉄骨鉄筋コンクリート／ 地上１４階,2002年2月25日,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
27,4,宮城県,宮城県仙台市青葉区大町2丁目5-3,コーポラティブハウス大町,コーポラティブハウス大町管理組合 こーぽらてぃぶはうすおおまちかんりくみあい,管理組合の自己紹介を見る,－,688.46 ㎡,所有権,327.09 ㎡ ／ 3131.93 ㎡,住宅：１８ 戸 ／ 非住宅：２ 区画,住宅： 2150.93 ㎡ ／ 非住宅： 200.8 ㎡ （壁芯面積）,鉄筋コンクリート／ 地上１４階 、地下１階,2004年6月18日,なし,あり,１基,平置式：５台、機械式：１６台,自転車：１８台,構内LAN方式,CS、BS、地上波デジタル,あり,あり,あり,－,開口部（複層ガラス）,階段の手摺： － 、廊下の手摺： － 、車イス用スロープ： あり,－,－,－,大町デザイナーズコーポラス建設組合,株式会社BAU建設設計室,株式会社BAU建設設計室,株式会社丸本組
28,4,宮城県,宮城県仙台市青葉区国見6丁目37-1,ダイアパレスラピュータ国見,ダイアパレスラピュータ国見管理組合 だいあぱれすらぴゅーたくにみかんりくみあい,－,－,23742.23 ㎡,所有権,12583.41 ㎡ ／ 21722.31 ㎡,住宅：２０２ 戸 ／ 非住宅：－,住宅： 15498.73 ㎡ ／ 非住宅：－ （登記簿面積）,鉄筋コンクリート／ 地上２階 、地下１階,2001年8月8日,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
29,4,宮城県,宮城県仙台市宮城野区小田原3-5-5,ダイアパレス小田原,ダイアパレス小田原管理組合 だいあぱれすおだわらかんりくみあい,管理組合の自己紹介を見る,－,2785.68 ㎡,所有権,1370.79 ㎡ ／ 6247.23 ㎡,住宅：７５ 戸 ／ 非住宅：－,住宅： 5237.72 ㎡ ／ 非住宅：－ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上９階,1986年10月1日,あり,あり,１基,平置式：２０台,自転車：１３０台,VDSL方式、CATV方式,CATV、BS、地上波デジタル,あり,－,なし,－,－,階段の手摺： － 、廊下の手摺： － 、車イス用スロープ： あり 、その他：あり,－,－,－,ダイア建設株式会社,株式会社現代建築工房,株式会社現代建築工房,株式会社松村組
30,4,宮城県,宮城県仙台市宮城野区原町1-3-14,ダイトシティ榴ヶ岡,ダイトシティ榴ヶ岡管理組合 だいとしてぃつつじがおかかんりくみあい,管理組合の自己紹介を見る,－,1509.37 ㎡,所有権,731.87 ㎡ ／ 6686.37 ㎡,住宅：６６ 戸 ／ 非住宅：－,住宅： 5333.54 ㎡ ／ 非住宅：－ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１３階,1997年8月7日,あり,あり,２基,平置式：２８台、機械式：３２台,自転車：１３２台／バイク：１４台,VDSL方式,CATV、BS,あり,あり,あり,－,－,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： あり,－,－,－,ダイトコーポレーション株式会社,エムズ企画設計株式会社,エムズ企画設計株式会社,大都工業株式会社
31,4,宮城県,宮城県仙台市太白区長町1-7-38,パシフィックマンション広瀬橋,パシフィックマンション広瀬橋管理組合 ぱしふぃっくまんしょんひろせばしかんりくみあい,管理組合の自己紹介を見る,－,1590.32 ㎡,所有権,1029.67 ㎡ ／ 6310.92 ㎡,住宅：６９ 戸 ／ 非住宅：２ 区画,住宅： 4211.71 ㎡ ／ 非住宅： 1346.49 ㎡ （登記簿面積）,鉄骨鉄筋コンクリート／ 地上１０階,1987年6月23日,あり,あり,１基,なし,自転車：７０台／バイク：５台,VDSL方式,BS、地上波デジタル,あり,なし,なし,－,－,階段の手摺： － 、廊下の手摺： － 、車イス用スロープ： あり,－,－,－,－,三井建設一級建築士事務所,三井建設株式会社 東北支店,三井建設株式会社 東北支店
32,4,宮城県,宮城県仙台市青葉区土樋1丁目1-5,プレミスト五橋,プレミスト五橋管理組合 ぷれみすといつつばしかんりくみあい,－,－,574.34 ㎡,所有権,409.55 ㎡ ／ 4275.31 ㎡,住宅：４０ 戸 ／ 非住宅：－,住宅： 2675.84 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上１４階 、地下１階,2007年8月7日,なし,あり,１基,平置式：１台、機械式：２８台,自転車：４１台／バイク：２台,構内LAN方式,CS、BS、地上波デジタル,あり,あり,あり,－,開口部（二重サッシ）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,－,大和ハウス工業株式会社,株式会社INA新建築研究所,株式会社INA新建築研究所,東鉄工業株式会社
33,4,宮城県,宮城県名取市手倉田字八幡608番地,プレミスト名取駅前,プレミスト名取駅前管理組合 ぷれみすとなとりえきまえかんりくみあい,管理組合の自己紹介を見る,－,1355.61 ㎡,所有権,641.08 ㎡ ／ 6409.78 ㎡,住宅：６５ 戸 ／ 非住宅：１ 区画,住宅： 5008.12 ㎡ ／ 非住宅： 83.16 ㎡ （壁芯面積）,鉄筋コンクリート／ 地上１４階 、地下１階,2008年6月10日,なし,あり,１基,機械式：６８台,自転車：８４台／バイク：５台,構内LAN方式,CS、BS、地上波デジタル,あり,あり,あり,－,開口部（二重サッシ）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,－,大和ハウス工業株式会社,意匠：株式会社創建設計 構造：株式会社弾構造設計事務所,株式会社創建設計,安藤建設株式会社
34,4,宮城県,宮城県仙台市青葉区葉山町1-25,ライオンズステーションプラザ津々美,ライオンズステーションプラザ津々美管理組合 らいおんずすてーしょんぷらざつつみかんりくみあい,管理組合の自己紹介を見る,－,3032.3 ㎡,所有権,1397.06 ㎡ ／ 7595.72 ㎡,住宅：８９ 戸 ／ 非住宅：－,住宅： 5948.27 ㎡ ／ 非住宅：－ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１０階,1987年5月13日,あり,あり,１基,平置式：４７台,自転車：１００台／バイク：５台,VDSL方式,BS、地上波デジタル,あり,あり,なし,－,－,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： あり,－,－,－,大京観光株式会社,株式会社山下設計,株式会社山下設計,株式会社大林組
35,4,宮城県,宮城県仙台市青葉区上杉5丁目8-18,上杉の杜パーク・ホームズ,上杉の杜パーク・ホームズ管理組合 かみすぎのもりぱーく・ほーむずかんりくみあい,－,－,4572.53 ㎡,所有権,1640.95 ㎡ ／ 9358.27 ㎡,住宅：１０５ 戸 ／ 非住宅：０ 区画,住宅： 8298.41 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上９階,2001年6月23日,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
36,4,宮城県,宮城県仙台市宮城野区新田二丁目19番2,仙台東ハイツ,仙台東ハイツ自治管理組合 せんだいひがしはいつじちかんりくみあい,－,－,3888.03 ㎡,所有権,2462.02 ㎡ ／ 6695.3 ㎡,住宅：６８ 戸 ／ 非住宅：１ 区画,住宅： 4471.99 ㎡ ／ 非住宅： 2223.31 ㎡ （壁芯面積）,鉄筋コンクリート／ 地上６階,1978年3月10日,なし,あり,２基,平置式：４台,自転車：８０台／バイク：７台,－,BS、地上波デジタル,あり,なし,なし,－,－,階段の手摺： あり 、廊下の手摺： － 、車イス用スロープ： あり,－,－,－,財団法人住宅改良開発公社,株式会社竹中工務店,株式会社竹中工務店,株式会社竹中工務店
37,5,秋田県,秋田県秋田市中通3-2-38,スカイパーク102,スカイパーク102管理組合 すかいぱーく102かんりくみあい,－,－,661.53 ㎡,所有権,509.74 ㎡ ／ 3302.15 ㎡,住宅：９１ 戸 ／ 非住宅：１ 区画,住宅： 2090.59 ㎡ ／ 非住宅： 609.78 ㎡ （壁芯面積）,鉄骨鉄筋コンクリート／ 地上１０階,1980年10月1日,なし,あり,１基,なし,なし,VDSL方式,BS、地上波デジタル,なし,なし,なし,－,－,－,－,－,－,瀧不動産株式会社,－,－,佐藤工業株式会社
38,7,福島県,福島県郡山市駅前二丁目13-13,D’グラフォート ザ・タワー郡山,でぃーぐらふぉーと ざ・たわーこおりやまかんりくみあい D’グラフォート ザ・タワー郡山管理組合,4月,－,1397.49 ㎡,所有権,615.95 ㎡ ／ 12484.33 ㎡,住宅：１０３ 戸 ／ 非住宅：－,住宅： 7215.58 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上２７階,2008年2月18日,あり,あり,２基,機械式：103台,自転車：１０４台／バイク：５台,VDSL方式,CS、BS、地上波デジタル,あり,あり,あり,免震構造,開口部（複層ガラス）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,大和ハウス工業株式会社,（株）日建ハウジングシステム,（株）日建ハウジングシステム,鹿島建設（株）,
39,7,福島県,福島県いわき市小名浜字蛭川南5番9,プレミスト小名浜,プレミスト小名浜管理組合 ぷれみすとおなはまかんりくみあい,－,－,1357.77 ㎡,所有権,657.01 ㎡ ／ 5844 ㎡,住宅：５７ 戸 ／ 非住宅：－,住宅： 4118.12 ㎡ ／ 非住宅：－ （壁芯面積）,鉄筋コンクリート／ 地上１２階,2008年9月10日,なし,あり,２基,平置式：１６台、機械式：４２台,自転車：５７台／バイク：４台,構内LAN方式,CS、BS、地上波デジタル,あり,あり,あり,－,開口部（複層ガラス）,階段の手摺： あり 、廊下の手摺： あり 、車イス用スロープ： あり,あり,あり,－,大和ハウス工業株式会社,意匠：株式会社山口建築設計事務所 構造：株式会社塩見仙台支社,株式会社山口建築設計事務所,株式会社浅沼組
